Price,Adj Close,Close,High,Low,Open,Volume
Ticker,600519.SS,600519.SS,600519.SS,600519.SS,600519.SS,600519.SS
Date,,,,,,
2020-07-16,1473.8712158203125,1614.0,1729.9100341796875,1600.0,1729.9100341796875,10224219
2020-07-17,1504.965087890625,1648.050048828125,1672.5899658203125,1620.0,1620.0,6590206
2020-07-20,1494.837646484375,1636.9599609375,1663.989990234375,1588.8800048828125,1652.5,4528033
2020-07-21,1523.1826171875,1668.0,1702.800048828125,1630.989990234375,1646.6400146484375,4196950
2020-07-22,1532.3876953125,1678.0799560546875,1710.0,1658.0,1658.0,3920121
2020-07-23,1530.4884033203125,1676.0,1691.0,1650.0,1672.0,3432052
2020-07-24,1456.7947998046875,1595.300048828125,1666.0,1585.0,1654.8499755859375,7875201
2020-07-27,1481.6788330078125,1622.550048828125,1629.800048828125,1600.0,1616.010009765625,3878817
2020-07-28,1525.00927734375,1670.0,1680.0,1630.0,1630.0,5491152
2020-07-29,1526.8355712890625,1672.0,1690.0,1633.0,1690.0,5074843
2020-07-30,1534.1409912109375,1680.0,1700.5899658203125,1670.5,1671.199951171875,3837304
2020-07-31,1532.4791259765625,1678.1800537109375,1705.0,1646.0,1685.0,4068474
2020-08-03,1523.1826171875,1668.0,1696.5799560546875,1660.0,1686.8800048828125,3466114
2020-08-04,1524.9998779296875,1669.989990234375,1682.989990234375,1660.0,1675.0,3194051
2020-08-05,1523.1826171875,1668.0,1673.0899658203125,1643.31005859375,1662.0899658203125,2552169
2020-08-06,1495.7510986328125,1637.9599609375,1674.030029296875,1630.0,1670.0,3264878
2020-08-07,1489.395263671875,1631.0,1649.6700439453125,1598.5,1644.77001953125,3424205
2020-08-10,1492.12548828125,1633.989990234375,1644.9599609375,1608.1099853515625,1627.969970703125,2362354
2020-08-11,1499.906005859375,1642.510009765625,1666.4300537109375,1640.0,1640.0,3581818
2020-08-12,1485.69677734375,1626.949951171875,1641.0,1605.25,1633.0,2793392
2020-08-13,1493.0479736328125,1635.0,1638.8800048828125,1609.0,1630.0,2054134
2020-08-14,1516.7906494140625,1661.0,1665.699951171875,1631.0,1639.9000244140625,3765318
2020-08-17,1543.2728271484375,1690.0,1704.3499755859375,1670.0,1674.0,4357201
2020-08-18,1556.9705810546875,1705.0,1720.0,1691.0,1697.3800048828125,3042281
2020-08-19,1540.5333251953125,1687.0,1717.0,1682.989990234375,1700.0,2691498
2020-08-20,1519.5301513671875,1664.0,1679.0,1656.0,1674.0,2238233
2020-08-21,1530.4884033203125,1676.0,1698.0,1671.0,1673.0,2508241
2020-08-24,1549.071533203125,1696.3499755859375,1708.0,1691.010009765625,1699.93994140625,3093344
2020-08-25,1577.0604248046875,1727.0,1746.780029296875,1698.6300048828125,1704.800048828125,4187249
2020-08-26,1577.0604248046875,1727.0,1745.0,1715.0999755859375,1734.02001953125,2621573
2020-08-27,1580.713134765625,1731.0,1733.97998046875,1705.0,1731.989990234375,2263553
2020-08-28,1604.455810546875,1757.0,1764.0,1721.5,1730.0,4229962
2020-08-31,1631.3946533203125,1786.5,1816.0,1770.5799560546875,1770.5799560546875,4781036
2020-09-01,1645.530517578125,1801.97998046875,1802.0,1775.010009765625,1790.0,3163992
2020-09-02,1639.1566162109375,1795.0,1828.0,1770.0,1825.0,3200929
2020-09-03,1637.330322265625,1793.0,1812.0,1779.699951171875,1795.0,3043735
2020-09-04,1616.3271484375,1770.0,1776.989990234375,1746.0,1766.0,3085796
2020-09-07,1573.8642578125,1723.5,1777.989990234375,1703.969970703125,1760.0,3111202
2020-09-08,1562.8148193359375,1711.4000244140625,1737.800048828125,1677.0699462890625,1734.9000244140625,3447238
2020-09-09,1541.4464111328125,1688.0,1711.0,1682.010009765625,1699.6700439453125,2596355
2020-09-10,1557.700927734375,1705.800048828125,1719.9000244140625,1700.0,1703.739990234375,2477833
2020-09-11,1582.539306640625,1733.0,1736.0,1688.0,1688.0,3108800
