,instId,datetime,interval,open_price,high_price,low_price,close_price,volume,gateway_name
57,BTC-USDT,2023-05-15 22:20:00+08:00,m,27243.3,27267.6,27226.8,27261.0,10350.63286068,okex
58,BTC-USDT,2023-05-15 22:19:00+08:00,m,27257.5,27292.7,27228.1,27244.0,21406.99196028,okex
59,BTC-USDT,2023-05-15 22:18:00+08:00,m,27279.0,27279.1,27257.6,27257.6,10880.46917077,okex
60,BTC-USDT,2023-05-15 22:17:00+08:00,m,27290.1,27290.1,27272.2,27281.3,10038.80343828,okex
61,BTC-USDT,2023-05-15 22:16:00+08:00,m,27296.3,27297.3,27290.1,27290.1,2344.99519084,okex
62,BTC-USDT,2023-05-15 22:15:00+08:00,m,27287.5,27296.5,27279.2,27295.7,9086.89368539,okex
63,BTC-USDT,2023-05-15 22:14:00+08:00,m,27309.2,27310.0,27278.0,27287.7,6548.76537014,okex
64,BTC-USDT,2023-05-15 22:13:00+08:00,m,27307.3,27309.2,27289.4,27309.2,5517.05021036,okex
65,BTC-USDT,2023-05-15 22:12:00+08:00,m,27298.3,27308.9,27281.8,27308.9,8098.88940402,okex
66,BTC-USDT,2023-05-15 22:11:00+08:00,m,27309.9,27323.7,27297.0,27297.7,9923.77845009,okex
67,BTC-USDT,2023-05-15 22:10:00+08:00,m,27283.7,27321.8,27260.8,27310.7,15702.68781103,okex
68,BTC-USDT,2023-05-15 22:09:00+08:00,m,27330.3,27334.5,27280.9,27284.0,9149.82504907,okex
69,BTC-USDT,2023-05-15 22:08:00+08:00,m,27334.5,27349.7,27330.5,27330.5,6506.32622332,okex
70,BTC-USDT,2023-05-15 22:07:00+08:00,m,27354.1,27363.6,27334.8,27334.8,5823.15492933,okex
71,BTC-USDT,2023-05-15 22:06:00+08:00,m,27344.0,27354.5,27343.8,27354.0,6280.47563987,okex
72,BTC-USDT,2023-05-15 22:05:00+08:00,m,27334.8,27358.1,27333.8,27345.6,6573.02260345,okex
73,BTC-USDT,2023-05-15 22:04:00+08:00,m,27351.5,27358.1,27331.0,27334.7,4891.90932071,okex
74,BTC-USDT,2023-05-15 22:03:00+08:00,m,27363.7,27363.7,27351.5,27351.6,686.64150717,okex
75,BTC-USDT,2023-05-15 22:02:00+08:00,m,27371.6,27371.6,27363.1,27363.7,1860.87267887,okex
76,BTC-USDT,2023-05-15 22:01:00+08:00,m,27369.4,27376.5,27369.3,27372.0,2271.98379769,okex
77,BTC-USDT,2023-05-15 22:00:00+08:00,m,27377.6,27377.6,27366.1,27369.0,3893.98130953,okex
78,BTC-USDT,2023-05-15 21:59:00+08:00,m,27369.5,27377.4,27366.1,27377.4,6069.81590841,okex
79,BTC-USDT,2023-05-15 21:58:00+08:00,m,27366.8,27376.7,27366.8,27369.9,4368.2670442,okex
80,BTC-USDT,2023-05-15 21:57:00+08:00,m,27367.9,27373.9,27361.3,27366.9,3823.74385522,okex
81,BTC-USDT,2023-05-15 21:56:00+08:00,m,27355.6,27367.8,27355.6,27367.8,4959.29898757,okex
82,BTC-USDT,2023-05-15 21:55:00+08:00,m,27360.5,27366.5,27349.5,27354.9,9156.19124496,okex
83,BTC-USDT,2023-05-15 21:54:00+08:00,m,27357.2,27370.2,27357.2,27360.6,6117.17016507,okex
84,BTC-USDT,2023-05-15 21:53:00+08:00,m,27382.0,27383.5,27351.2,27357.3,5479.53905936,okex
85,BTC-USDT,2023-05-15 21:52:00+08:00,m,27383.0,27393.7,27381.9,27381.9,4209.30892118,okex
86,BTC-USDT,2023-05-15 21:51:00+08:00,m,27393.2,27395.1,27383.8,27383.8,1999.2114044,okex
87,BTC-USDT,2023-05-15 21:50:00+08:00,m,27399.0,27402.3,27393.4,27393.4,1370.76004573,okex
88,BTC-USDT,2023-05-15 21:49:00+08:00,m,27416.6,27423.0,27398.0,27399.4,5588.06899799,okex
89,BTC-USDT,2023-05-15 21:48:00+08:00,m,27423.9,27423.9,27393.4,27416.7,7253.6484307,okex
90,BTC-USDT,2023-05-15 21:47:00+08:00,m,27425.5,27432.2,27424.2,27425.0,3803.88434093,okex
91,BTC-USDT,2023-05-15 21:46:00+08:00,m,27443.9,27444.3,27425.4,27425.5,4867.81283109,okex
92,BTC-USDT,2023-05-15 21:45:00+08:00,m,27428.9,27443.8,27428.9,27443.8,8794.385646,okex
93,BTC-USDT,2023-05-15 21:44:00+08:00,m,27426.0,27429.5,27422.7,27428.7,4379.72370236,okex
94,BTC-USDT,2023-05-15 21:43:00+08:00,m,27430.0,27436.3,27425.4,27426.4,1973.04949202,okex
95,BTC-USDT,2023-05-15 21:42:00+08:00,m,27441.4,27441.4,27428.3,27431.2,5118.90556265,okex
96,BTC-USDT,2023-05-15 21:41:00+08:00,m,27429.5,27450.4,27423.3,27443.6,10470.41995149,okex
97,BTC-USDT,2023-05-15 21:40:00+08:00,m,27420.9,27429.3,27415.9,27429.3,6983.26898952,okex
98,BTC-USDT,2023-05-15 21:39:00+08:00,m,27419.9,27420.9,27411.9,27420.9,4322.66742734,okex
99,BTC-USDT,2023-05-15 21:38:00+08:00,m,27403.4,27425.7,27403.4,27421.6,6935.54823062,okex
