,id,code,pe_ratio,turnover_ratio,pb_ratio,ps_ratio,pcf_ratio,capitalization,market_cap,circulating_cap,circulating_market_cap,day,pe_ratio_lyr
2542,85784157,301109.XSHE,15.3732,2.5558,1.5383,3.7997,-93.2125,41001.0,70.9317,8468.1074,14.6498,2022-08-16,16.1484
2543,85780567,301110.XSHE,19.5938,1.8828,1.9601,3.1849,2.7208,6666.6665,26.6,1519.1251,6.0613,2022-08-16,18.0069
2544,85780288,301111.XSHE,63.6806,4.3413,5.175,11.0232,-395.1962,16000.0,38.208,3762.0706,8.9838,2022-08-16,66.8184
2545,85780232,301112.XSHE,55.1733,12.5665,4.2585,8.4535,-88.2455,11026.6602,50.7998,2375.8806,10.9457,2022-08-16,62.9728
2546,85784243,301113.XSHE,26.0172,4.5299,3.7076,5.8111,4.5453,7000.0,25.066999999999997,1750.0,6.2668,2022-08-16,26.723000000000003
2547,85780728,301116.XSHE,-2994.4191,7.9258,4.3179,0.4716,35.6492,44897.9609,78.5714,4485.5674,7.8497,2022-08-16,67.0775
2548,85780860,301117.XSHE,62.208999999999996,3.7574,4.726,17.9997,6.2055,9226.3301,59.0485,2100.1785,13.4411,2022-08-16,63.8356
2549,85781558,301118.XSHE,17.8199,3.6241,3.4966,4.7211,105.5472,10667.0,46.9988,2575.71,11.3486,2022-08-16,19.4522
2550,85784062,301119.XSHE,47.7065,8.241,3.4126,7.3651,9.2598,8000.0,26.88,2000.0,6.72,2022-08-16,50.7061
2551,85780066,301120.XSHE,75.8837,24.0315,4.5982,15.6505,59.5625,24762.7363,68.0728,5247.8789,14.4264,2022-08-16,80.7562
2552,85784111,301121.XSHE,76.1587,16.8559,4.4397,8.9954,-225.7373,7080.3184,71.4121,1678.7084,16.9315,2022-08-16,70.9073
2553,85782529,301122.XSHE,56.6482,2.4523,4.6543,15.6329,11.0367,9403.5117,75.3692,2350.8799,18.8423,2022-08-16,57.6738
2554,85780205,301123.XSHE,34.8309,7.0457,2.415,4.4852,4.2404,23360.0,72.0189,5425.8477,16.7279,2022-08-16,35.6102
2555,85782191,301125.XSHE,43.7862,8.6314,3.5069999999999997,4.9183,-289.4301,7240.0,23.4142,1716.7555,5.5520000000000005,2022-08-16,42.9803
2556,85780171,301126.XSHE,55.9892,10.9603,2.3351,1.4613,19.3367,20650.5703,39.9382,5162.6426,9.9846,2022-08-16,58.5099
2557,85782447,301127.XSHE,29.1219,1.7386,2.3403,5.8747,15.4149,41840.5781,45.7736,10250.0,11.2135,2022-08-16,28.574
2558,85781982,301128.XSHE,43.229,2.8503,2.8697,5.1771,12.8384,7388.6621,22.3803,1847.17,5.5951,2022-08-16,40.5657
2559,85782875,301129.XSHE,28.1848,1.6531,3.404,9.2303,28.9029,7439.0,49.7967,1842.0,12.3303,2022-08-16,29.0764
2560,85780842,301130.XSHE,61.7087,5.1141,3.3376,11.0131,5.6983,8080.3945,30.455,1915.9542,7.2212,2022-08-16,58.5458
2561,85779901,301131.XSHE,43.5551,20.9176,3.5006,1.9462,8.8407,4778.0,26.4415,1195.2152,6.6143,2022-08-16,41.2058
2562,85780421,301132.XSHE,52.8061,24.0663,3.5757,4.8288,-364.4305,14747.0,56.303999999999995,3496.77,13.3507,2022-08-16,53.0632
2563,85781683,301133.XSHE,67.1972,6.7694,3.9328,5.3752,22.9877,10609.6611,31.5001,2652.9299,7.8765,2022-08-16,75.7639
2564,85782717,301135.XSHE,41.9267,23.8957,2.5997,2.4511,9090.6885,10195.2002,32.5227,2257.1575,7.2003,2022-08-16,40.2167
2565,85782370,301136.XSHE,61.3248,6.0525,3.2697,7.0598,7.7221,27520.4824,47.7756,6022.27,10.4547,2022-08-16,61.9128
2566,85780107,301137.XSHE,50.6519,18.1848,2.7149,1.9851,5.1002,18181.3398,34.1264,4310.9453,8.0916,2022-08-16,44.3682
2567,85781567,301138.XSHE,44.2968,7.1835,3.8484,7.622000000000001,5.7418,12000.0,41.004,3000.0,10.251,2022-08-16,41.6051
2568,85781696,301139.XSHE,35.4985,5.1299,2.2784,2.2191,107.501,12158.0801,39.684,2883.1328,9.4105,2022-08-16,37.1934
2569,85783013,301148.XSHE,22.6285,2.4502,1.9137,4.3203,-77.4118,11649.708,31.2678,2371.7729,6.3658,2022-08-16,21.0328
2570,85780923,301149.XSHE,39.4723,11.8618,4.6232,1.669,15.4036,43000.0,70.86399999999999,6602.7808,10.8814,2022-08-16,36.5258
2571,85780968,301150.XSHE,26.5897,16.0033,2.9334,4.1523,6.2771,10102.0762,109.8096,2087.6887,22.6932,2022-08-16,28.7916
2572,85781480,301151.XSHE,19.7167,2.1739,1.8912,3.5269999999999997,118.5163,16767.4297,36.5027,3983.4607,8.672,2022-08-16,18.9807
2573,85781355,301153.XSHE,34.5887,5.0663,4.0373,7.4378,-29.8206,10800.0,56.268,2304.1526,12.0046,2022-08-16,36.056999999999995
2574,85780011,301155.XSHE,25.5225,11.665999999999999,4.7421,5.4621,12.6435,21739.1484,246.5654,5434.7998,61.6415,2022-08-16,22.1596
2575,85780185,301156.XSHE,34.9043,5.877999999999999,3.0358,4.3531,132.02700000000002,8000.0,22.584,2000.0,5.646,2022-08-16,32.0078
2576,85780077,301158.XSHE,49.0259,9.4058,2.6032,6.9266,26.1385,15037.0508,31.6229,3759.27,7.9057,2022-08-16,50.6734
2577,85781090,301159.XSHE,53.9285,2.5379,2.7653,7.4555,4.841,7735.0,23.8702,1935.0,5.9714,2022-08-16,43.2502
2578,85784427,301160.XSHE,32.6281,9.8417,3.2509,3.5473,7.2902,7466.6665,40.2304,1770.3849,9.5388,2022-08-16,33.3547
2579,85780598,301162.XSHE,114.1489,9.4302,7.6844,22.895,102.7472,7089.2632,71.5803,1681.4569,16.9777,2022-08-16,120.9621
2580,85780916,301163.XSHE,54.0131,43.5434,3.3506,4.5528,-91.2287,8160.0,35.4389,1934.5504,8.4018,2022-08-16,53.9752
2581,85780264,301166.XSHE,46.2906,3.585,2.4424,4.5284,6.1956,8666.667,50.5093,2165.2605,12.6191,2022-08-16,46.4547
2582,85780579,301167.XSHE,33.4945,3.508,2.7787,5.853,4.6032,8000.0,23.256,2000.0,5.814,2022-08-16,34.5991
2583,85780428,301168.XSHE,126.1966,6.0412,4.6586,7.3139,12.5337,12000.0,85.92,3000.0,21.48,2022-08-16,107.7294
2584,85780542,301169.XSHE,58.6517,3.2948,4.071000000000001,6.7272,8.8359,7223.9775,26.5626,1805.9944,6.6406,2022-08-16,59.5373
2585,85783007,301175.XSHE,62.9232,11.8711,3.657,7.5507,-185.0205,147188.0,111.4213,31978.7891,24.2079,2022-08-16,64.5932
2586,85782371,301177.XSHE,18.1867,1.607,3.8275,5.1806,29.3352,40001.0,246.5662,3646.4314,22.4766,2022-08-16,18.9409
2587,85783946,301178.XSHE,38.1996,3.5264,2.7399,4.5772,42.7778,6595.6802,21.9438,1648.92,5.486000000000001,2022-08-16,39.4268
2588,85779794,301179.XSHE,32.7153,12.2579,3.3452,9.1589,-65.6677,13200.0,65.9472,3037.4404,15.1751,2022-08-16,35.4611
2589,85780367,301180.XSHE,51.6382,12.7476,8.3005,7.3646,25.9179,40001.0,97.7224,4001.0,9.7744,2022-08-16,55.5631
2590,85781209,301181.XSHE,46.7628,22.596999999999998,3.948,9.6265,6.9521,9000.0,48.023999999999994,2133.7495,11.3857,2022-08-16,47.3817
